Algorithm,Set,RMSE,IFT_Actual,IFT_Prediction,Residual,Standarized,Set Overall Results,R,RMSE,
XGB,Training,0.000861492,1.43,1.400648811,0.029351189,-0.003495915,,,,
XGB,Training,0.000268643,20,20.01639034,-0.016390337,-0.031569872,,,,
XGB,Training,0.001143316,1.36,1.39381296,-0.03381296,-0.042263044,,,,
XGB,Training,0.001380173,22.1,22.06284932,0.037150678,0.001291038,,,,
XGB,Training,0.015048907,14.51,14.38732601,0.122673987,0.053781148,,,,
XGB,Training,0.000789439,1.13,1.15809695,-0.02809695,-0.03875483,,,,
XGB,Training,0.000124096,1.43,1.441139843,-0.011139843,-0.02834737,,,,
XGB,Training,0.006373639,19.655,19.73483507,-0.079835075,-0.070509213,,,,
XGB,Training,0.004533685,6.146,6.213332645,-0.067332645,-0.06283582,,,,
XGB,Training,0.000143051,16.4,16.3880396,0.011960401,-0.014169547,,,,
XGB,Training,0.035618866,30.1,29.91127039,0.18872961,0.094322926,,,,
XGB,Training,0.013539116,22,21.88364229,0.116357709,0.04990452,,,,
XGB,Training,0.050832784,18.151,18.37646127,-0.225461269,-0.159887596,,,,
XGB,Training,0.0023194,10.986,10.93783985,0.048160146,0.008048122,,,,
XGB,Training,0.001732867,16.594,16.63562772,-0.041627717,-0.047059367,,,,
XGB,Training,0.000789439,1.13,1.15809695,-0.02809695,-0.03875483,,,,
XGB,Training,0.06137515,24.2,23.95225991,0.247740086,0.130540729,,,,
XGB,Training,0.001032654,16.275,16.24286506,0.032134938,-0.001787382,,,,
XGB,Training,8.34921E-05,1.9,1.909137402,-0.009137402,-0.027118368,,,,
XGB,Training,1.17655E-05,18.348,18.35143009,-0.003430086,-0.023615491,,,,
XGB,Training,0.006871258,7.323,7.240106947,0.082893053,0.029365517,,,,
XGB,Training,1.50577E-05,8.1,8.103880425,-0.003880425,-0.023891887,,,,
XGB,Training,0.079033108,18.871,18.58987172,0.281128277,0.151032801,,,,
XGB,Training,0.005329234,6.309,6.382001603,-0.073001603,-0.066315155,,,,
XGB,Training,9.42368E-05,14.64,14.63029244,0.009707565,-0.01555223,,,,
XGB,Training,0.005067135,2.31,2.381183811,-0.071183811,-0.065199482,,,,
